"EventType","InsertText","DeleteText","SourceLocation","ClientTimestamp","CodeStateSection","ToolInstances","EditType","X-Metadata","CodeStateID","X-Compilable","EventID","SubjectID","AssignmentID"
"X-Action","ShowYourWork Init","","","1713302266294",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"X-Action","Tab",,,"1713304105175","starter.py","1.1.5 for 2021-2022 @t1",,"Tab",,,,,
"File.Edit","import pygame


SCREEN_WIDTH = 800
SCREEN_HEIGHT = 800
CLOCK_DELAY = 30
TITLE = ""Crashtopolis""


def main():

    # Pygame initial setup
    pygame.init()
    screen = pygame.display.set_mode([SCREEN_WIDTH, SCREEN_HEIGHT])
    pygame.display.set_caption(TITLE)
    clock = pygame.time.Clock()

    ####
    # Setup media/sound/images
    ####
    

    ####
    # Setup game data
    ####


    # Start the main loop
    game_over = False
    running = True
    while running:

        ####
        # Collect User Input/Events
        ####

        # If the user exits the program, break out of the loop
        for event in pygame.event.get():
            if event.type == pygame.QUIT:
                running = False

        ####
        # Update Game State
        ####


        ####
        # Update the Display
        ####
    


        # Update display
        pygame.display.flip()
        clock.tick(CLOCK_DELAY)


main()
","","0","1713304105221","starter.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"File.Edit","b","","347","1713304107777","starter.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","b",,"348","1713304107788","starter.py","1.1.5 for 2021-2022 @t1",,"b",,,,,
"X-Action","Outside edit","","","1713304125424","starter.py","1.1.5 for 2021-2022 @t1",,"Outside Edit",,,,,
"File.Edit","","import pygame


SCREEN_WIDTH = 800
SCREEN_HEIGHT = 800
CLOCK_DELAY = 30
TITLE = ""Crashtopolis""


def main():

    # Pygame initial setup
    pygame.init()
    screen = pygame.display.set_mode([SCREEN_WIDTH, SCREEN_HEIGHT])
    pygame.display.set_caption(TITLE)
    clock = pygame.time.Clock()

    ####
    # Setup media/sound/images
    ####
    b

    ####
    # Setup game data
    ####


    # Start the main loop
    game_over = False
    running = True
    while running:

        ####
        # Collect User Input/Events
        ####

        # If the user exits the program, break out of the loop
        for event in pygame.event.get():
            if event.type == pygame.QUIT:
                running = False

        ####
        # Update Game State
        ####


        ####
        # Update the Display
        ####
    


        # Update display
        pygame.display.flip()
        clock.tick(CLOCK_DELAY)


main()
","0","1713304125427","starter.py","1.1.5 for 2021-2022 @t1","Delete",,,,,,
"File.Edit","import pygame


SCREEN_WIDTH = 800
SCREEN_HEIGHT = 800
CLOCK_DELAY = 30
TITLE = ""Crashtopolis""


def main():

    # Pygame initial setup
    pygame.init()
    screen = pygame.display.set_mode([SCREEN_WIDTH, SCREEN_HEIGHT])
    pygame.display.set_caption(TITLE)
    clock = pygame.time.Clock()

    ####
    # Setup media/sound/images
    ####


    ####
    # Setup game data
    ####


    # Start the main loop
    game_over = False
    running = True
    while running:

        ####
        # Collect User Input/Events
        ####

        # If the user exits the program, break out of the loop
        for event in pygame.event.get():
            if event.type == pygame.QUIT:
                running = False

        ####
        # Update Game State
        ####


        ####
        # Update the Display
        ####
    


        # Update display
        pygame.display.flip()
        clock.tick(CLOCK_DELAY)


main()
","","0","1713304125427","starter.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Action","ShowYourWork Init","","","1713304125612",,"1.1.5 for 2021-2022 @t1",,"Init",,,,,
"File.Edit","c","","0","1713304325637","cell.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
"X-Keystroke","c",,"1","1713304325642","cell.py","1.1.5 for 2021-2022 @t1",,"c",,,,,
"File.Edit","l","","1","1713304326132","cell.py","1.1.5 for 2021-2022 @t1","Insert",,,,,,
